Participant,Age,Gender,Occupation,OccupGroup,OtherLgs,Education,EduTotal,ReadEng1,ReadEng2,ReadEng3,ReadEng,Active,ObjCl,ObjRel,Passive,Postmod,Q.has,Q.is,Locative,SubCl,SubRel,GrammarR,Grammar,VocabR,Vocab,CollocR,Colloc,Blocks,ART,LgAnalysis,Group,NativeLg,EdNative,EdUK,EduYrsNat,EduYrsEng,FirstExp,Arrival,LoR,EngWork,EngPrivate,ReadOth1,ReadOth2,ReadOth3,ReadOth,UseEngC,NativeLgFamily
207c,17,M,Student,PS,None,Student,13,1,2,2,5,8,6,7,8,8,8,5,8,8,8,74,85,39,53.33333333,23,46.875,26,3,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208c,17,M,Student,PS,None,Student,13,0,0,2,2,8,8,8,8,8,6,1,8,8,8,71,77.5,34,42.22222222,15,21.875,17,4,8,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209c,17,F,Student,PS,None,Student,13,1,0,2,3,8,6,5,8,5,8,0,8,8,8,64,60,38,51.11111111,22,43.75,7,10,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221c,17,M,Student,PS,None,Student,13,3,3,2,8,8,8,8,8,7,7,8,8,8,8,78,95,46,68.88888889,19,34.375,17,16,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,20,F,Student,PS,Latvian And Russian,NA,13,5,5,2,12,6,7,5,5,7,8,5,7,4,6,60,50,44,64.44444444,27,59.375,21,1,14,L2,Lithuanian,High School,1st Year Student,13,0,NA,17,3,5,5,1,0,0,1,2.376231192,Baltic
244,22,F,Student,PS,English At School,NA,16,4,4,2,10,3,4,5,5,6,5,2,4,4,7,45,12.5,39,53.33333333,9,3.125,21,9,14,L2,Polish,Diploma (4 Years),University 4th Year,12,4,NA,18,3,5,4,2,1,2,5,3.416512889,Slavic
46,22,F,Cleaner,M,"English, German",NA,14,3,3,0,6,7,8,8,8,8,7,4,8,8,8,74,85,32,37.77777778,8,0,21,22,3,L2,Polish,College,,14,0,7,19,3,4,1,5,5,1,11,-2.421181333,Slavic
221,23,F,Student,PS,No,NA,14,4,3,2,9,8,7,8,8,8,7,8,8,8,8,78,95,52,82.22222222,29,65.625,20,0,15,L2,Italian,High School,College Esl Course,12,2,NA,19,3,5,3,1,0,3,4,1.442015582,Romance
222,22,M,Student,PS,Russian And English,NA,16,5,3,1,9,8,8,8,7,8,8,8,8,8,8,79,97.5,44,64.44444444,24,50,10,7,8,L2,Lithuanian,High School,2nd Year University,15,1,3,19,3,5,2,4,1,2,7,0.276241345,Baltic
230,22,F,Student,PS,English At School,NA,16,4,2,1,7,7,8,8,8,8,6,8,8,8,8,77,92.5,31,35.55555556,18,31.25,23,23,15,L2,Polish,High School And Baccaleureate,University (1st Year),15,1,3,19,3,5,3,4,2,2,8,0.370784026,Slavic
247,23,F,Student,PS,A Little Italian,NA,16,0,1,3,4,6,2,6,1,5,7,4,3,4,4,42,5,30,33.33333333,3,-15.625,10,31,12,L2,Polish,Bacherlors Degree (4 Years),None,16,0,7,20,3,1,1,0,0,5,5,-5.178567246,Slavic
237,32,F,Self Employed,PS,"German, Ukrainian At Home",NA,10,1,1,2,4,8,7,8,8,8,7,8,8,8,8,78,95,39,53.33333333,14,18.75,19,4,12,L2,Polish,Masters Degree,4 Week Accounting Course,10,0,NA,22,3,3,3,1,1,3,5,-2.451201977,Slavic
243,25,F,Intern,PS,No,NA,15,3,3,3,9,5,4,4,4,6,5,4,5,4,4,45,12.5,37,48.88888889,5,-9.375,18,9,14,L2,Spanish,University,None,15,0,NA,22,3,4,2,1,1,3,5,-1.014096216,Romance
213,26,F,Student,PS,None,NA,19,5,5,2,12,8,8,8,8,8,8,8,8,8,8,80,100,50,77.77777778,23,46.875,26,18,15,L2,French,Masters,Phd Ongoing,14,5,4,23,3,5,2,1,1,2,4,3.248625135,Romance
