ID;L3;Years of L3;Gender;L3 selfasses;L3 grade;L2 selfasses;L2 grade;V2Non-SU-I-1;V2Non-SU-I-2 ;V2Non-SU-I-3;V2Non-SU-I-4;V2Non-SU-I-5;V2Non-SU-I-6;V2SU-I-1 ;V2SU-I-2;V2SU-I-3;V2SU-I-4;V2SU-I-5;V2SU-I-6;V3Non-SU-I-1;V3Non-SU-I-2;V3Non-SU-I-3;V3Non-SU-I-4;V3Non-SU-I-5;V3Non-SU-I-6;V3SU-I-1;V3SU-I-2;V3SU-I-3;V3SU-I-4;V3SU-I-5;V3SU-I-6
UTRA966;1;3;2;2,5;4;6;5;1;1,5;2;1;1;1;1,5;2;2;1;2;2;3;4;3,5;4;3;3,5;4;4;4;3;4;4
VSIO962;1;2;1;2;5;5;5;1;2;1;1;1;1;2;1;2;1;2;2;2;3;3;3;3;3;4;1;3;3;4;3
VSOO620;1;1;1;2;5;4;5;1;1;1;1;1;1;1;1;1;1;1;1;2;4;3;4;3;4;4;4;4;4;4;4
ÅAND904;1;3;2;4;5;5;5;1;2;1;4;1;1;1;1;1;1;2;1;2;4;3;4;3;4;4;3;3;4;4;4
ÅANM231;1;1;2;1;2;3;3;1;2;1;1;1;1;1;1;2;1;1;1;1;2;3;4;3;3;4;1;2;1;3;3
ÅLEY560;1;3;2;4;6;6;5;1;2;1;2;2;2;1;1;1;2;2;2;2;4;3;3;4;4;4;2;4;1;4;4
FMOI239;1;1;1;2;3;6;5;2;2;2;2;;3;2;2;2;3;2;2;4;4;4;3;;3;4;1;4;;4;2
CSIA861;1;1;1;1,5;4;5,5;3;4;2;2;4;2;2;4;2;2;3;2;4;4;4;4;4;4;4;4;2;4;4;4;4
CAIO202;1;1;1;1,5;5;5,5;5;1;1;1;1;1;1;1;2;1;1;2;1;2;3;3;4;3;3;4;1;4;3;3;4
UROL096;1;1;1;1;4;6;3;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;1;4;4;4;4
CLIA302;1;1;1;2,5;4;6;4;1;1;1;2;1;1;1;2;1;2;2;1;2,5;4;3;4;4;4;3;3;3;3;4;4
CANL624;1;1;1;1,5;;6;;1;1;1;1;1;1;1;1;1;1;2;1;3;3;3;3;1;3;3;1;3;1;3;3
CHEI991;1;1;2;2,5;3;6;5;1;2;1;1;1;3;2;1;2;2;2;3;2;3;3;4;3;4;4;1;4;4;4;4
CKRY650;1;1;1;2;4;6;5;1;1;1;1;1;1;1;1;1;1;3;4;4;4;4;4;4;2;4;1;4;4;4;4
BLEA148;1;1;2;2;6;5;4;1;1;1;2;1;2;2;2;2;1;1;1;3;4;4;4;4;4;4;4;4;4;4;4
SVIA253;1;1;2;1;3,5;5;5;1;2;1;1;2;1;2;1;1;2;3;2;3;4;4;3;4;4;3;2;4;3;4;3
NKAR557;1;1;1;1,5;2;5,5;5;1;1;1;2;1;1;2;2;2;1;1;2;4;4;4;4;4;4;4;1;4;2;4;3
EHAE664;1;1;1;1;-;4,5;4;2;1;1;1;1;3;1;1;1;1;1;1;4;4;3;4;3;4;4;2;2;2;4;4
BMAO772;1;1;2;1;3;6;4;1;2;2;2;2;3;2;3;2;3;2;3;4;4;3;3;3;3;4;3;4;4;4;3
NINR590;2;4;1;2;4;6;5;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;3;3;4;4;4;4;4;4
VLIL411;2;4;1;3;4;4;4;2;1;1;1;1;4;1;3;3;2;2;2;1;4;4;4;4;4;4;2;3;4;4;4
BSII634;2;4;1;3;4;4;3;1;2;1;4;2;1;3;1;3;1;3;2;1;3;3;4;2;2;4;3;2;4;4;3
CMEY833;2;4;1;5;4;5;5;3;2;1;1;3;2;3;1;1;1;1;3;2;3;3;2;4;1;3;1;3;3;4;3
SMAH649;2;4;2;3;5;5,5;4;2;2;2;3;2;3;2;3;3;2;3;3;3;4;3;4;4;3;4;3;4;3;4;4
REVS398;2;4;2;2;5;4;5;4;4;2;1;2;1;4;3;3;2;4;4;4;4;2;2;4;4;4;4;4;3;4;4
SMAI166;2;4;2;2,5;3;4;4;1;1;1;2;3;1;3;2;1;2;2;3;2;4;2;4;3;4;4;3;3;3;4;3
CKAI625;2;4;2;3;3;6;5;3;1;1;4;1;1;3;1;1;1;1;1;4;4;4;4;4;4;4;4;1;3;2;4
VKAR686;2;4;1;2;3;5,5;5;1;1;2;1;2;2;2;1;2;1;;;3;3;2;3;4;;3,5;3,5;3;4;;4
CSID/F210;2;3;1;3;4;5,5;5;2;2;2;1;2;4;2;2;2,5;3;1;2;3;3;4;4;4;3;3;2;4;3;4;4
LREE863;2;3;2;4;5;5,5;6;2;2;1,5;3;2;2;2;2;2;2;2;2;3;4;2;4;3;3;3,5;4;3;4;4;4
CBEU900;2;3;1;2,5;4;6;5;3;3;2;2;2;2;3;3;2;2;2;3;3;3;4;4;4;4;4;4;4;4;4;3
VEVA357;2;3;2;5;5;6;5;1;1;1;1;1;1;1;1;1;1;1;1;2;4;3;4;4;4;4;3;4;4;4;4
BKJI030;2;3;1;1,5;2;6;3;2;2;3;4;2;2;3;3;2;3;3;3;3;4;3;4;4;4;4;3;3;4;4;3
VING294;2;3;2;3,5;4;6;5;1;2;2;4;2;2;2;2;1;2;2;2;4;4;4;3,5;4;4;4;4;4;4;4;4
CTRA252;2;3;2;3;5;5;5;1;1;1;1;2;1;2;2;2;2;3;2;2;3;3;2;4;4;4;3;3;3;4;4
VANA743;2;3;2;3,5;5;5,5;5;1;1;1;1;1;1;2;3;2;1;3;3;3;4;3;3;4;3;4;3;3;3;4;3
VMAN602;2;3;2;4;6;5,5;6;1;2;2;4;3;3;2;2;3;3;3;3;3;2;3;4;4;3;4;4;4;3;4;4
IANE089;2;2;1;2;3;6;5;1;1;1;4;1;1;1;1;1;1;2;1;2;3;2;4;3;4;4;1;3;4;4;4
HCRL929;2;2;1;3;4;4,5;5;1;1;2;1;1;1;1;1;1;1;3;1;4;4;4;4;4;4;4;3;4;4;4;4
HCED978;2;2;1;2;1;6;4;1;1;1;1;1;1;1;1;1;1;1;2;3;2,5;3,5;2,5;2,5;2,5;2,5;1;4;3;4;3
HMOK047;2;2;1;2;3;5;4;4;1;2;1;1;1;1;2,5;1;2;2;2;2;4;4;3;3;4;3;1;3;3;3;3
SINA466;2;2;2;3;3;6;5;1;3;2;3;2;4;3;2;4;2;3;2;2;3;4;4;3;3;3;2;3;3;4;3
BTHO823;2;2;1;3;4;5;5;2;3;2;2;1;2;4;3;2;2;4;4;4;4;4;4;3;4;4;4;4;4;4;4
NASO556;2;2;1;2;3;5;4;1;1;2;2;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;1;3;3;3;2
DIRO936;2;4;1;3;3;6;5;1;1;1;3;1;1;1;2;1;1;1;1;3;4;3;4;3;3;3;2;2;3;3;4
NMAN524;2;4;1;3;4;6;5;1;2;1;1;1;1;3;3;2;1;1;3;3;2;3;4;3;2;4;1;4;4;4;4
STOÅ537;2;4;1;3;4;5;5;1;1;1;4;2;2;1;2;2;2;3;2;3;2;4;2;3;3;2;3;3;3;4;3
BELR296;2;4;2;2;4;3;4;1;3;1;2;2;2;1;2;2;2;2;4;3;4;3;4;4;4;4;3;4;4;4;3
HMOY932;2;4;2;3;4;6;5;1;1;1;1;1;1;2;1;2;2;1;2;2;3;4;3;4;4;4;4;4;4;4;4
