language	subject	disambiguation	item	crit1	crit2	crit3	AoO	age
F	f7	2	10	1.381249186	-1.527247003	1.584962501	14.00	20.00
F	f7	1	11	-1.584962501	1.584962501	-1.584962501	14.00	20.00
F	f7	2	12	0.144389909	-0.280107919	0.123735368	14.00	20.00
F	f7	1	13	-0.038994132	1.584962501	-0.147341716	14.00	20.00
F	f7	2	14	0.233199176	-0.544698631	0.409644241	14.00	20.00
F	f7	1	15	1.006853671	1.584962501	1.382145618	14.00	20.00
F	f7	2	16	0.835115615	0.736965594	1.078002512	14.00	20.00
F	f8	2	1	0.500898236	1.085391491	0.125530882	11.00	20.00
F	f8	1	2	0.206450877	0.641546029	0.216811389	11.00	20.00
F	f8	2	3	0	0.272620455	-0.105610188	11.00	20.00
F	f8	1	4	1.584962501	1.584962501	1.584962501	11.00	20.00
F	f8	2	5	-0.645335119	0.263034406	-1.31259023	11.00	20.00
F	f8	1	6	-1.584962501	0.902702799	-1.584962501	11.00	20.00
F	f8	2	7	1.177304532	-0.107713817	1.584962501	11.00	20.00
F	f8	1	8	-0.514573173	0.299560282	-0.801454321	11.00	20.00
F	f8	2	9	1.584962501	0.401616984	1.584962501	11.00	20.00
F	f8	1	10	1.584962501	1.584962501	1.584962501	11.00	20.00
F	f8	2	11	-0.485426827	-0.06871275	-1.021695071	11.00	20.00
F	f8	1	12	1.584962501	1.584962501	1.584962501	11.00	20.00
F	f8	2	13	-0.019763255	0.945138065	0.060120992	11.00	20.00
F	f8	1	14	-1.584962501	-0.324350757	-1.584962501	11.00	20.00
F	f8	2	15	0.348664477	-1.584962501	0.537656786	11.00	20.00
F	f8	1	16	-0.965892146	0.395928676	-1.378511623	11.00	20.00
F	f9	1	1	0.76957026	-1.584962501	1.215389034	11.00	20.00
F	f9	2	2	1.584962501	0.212544635	1.584962501	11.00	20.00
F	f9	1	3	0.2410081	1.584962501	0.352671618	11.00	20.00
F	f9	2	4	0.141554144	-0.379493382	0.219009782	11.00	20.00
F	f9	1	5	-1.584962501	-0.219009782	-1.584962501	11.00	20.00
F	f9	2	6	-1.584962501	0.946981618	-1.584962501	11.00	20.00
F	f9	1	7	-1.078002512	1.008082346	-1.584962501	11.00	20.00
F	f9	2	8	1.584962501	0.154722595	1.584962501	11.00	20.00
F	f9	1	9	0.766259901	0.652076697	1.019365325	11.00	20.00
F	f9	2	10	-0.875741897	-1.584962501	-1.215389034	11.00	20.00
F	f9	1	11	1.584962501	0.817939673	1.584962501	11.00	20.00
F	f9	2	12	0.447458977	0.558490289	-0.415037499	11.00	20.00
F	f9	1	13	1.46712601	1.298341275	1.584962501	11.00	20.00
F	f9	2	14	-0.565597176	-1.584962501	-0.439532061	11.00	20.00
F	f9	1	15	0.577057303	0.390789953	0.485426827	11.00	20.00
F	f9	2	16	-0.178092322	-1.584962501	-0.198328716	11.00	20.00
